Month,Sales
3/12/2017,100
3/26/2017,100
4/23/2017,100
5/21/2017,100
6/18/2017,100
7/16/2017,416
8/13/2017,644
9/10/2017,575
10/8/2017,978
11/5/2017,1228
12/3/2017,100
12/31/2017,136
1/28/2018,474
2/25/2018,723
3/25/2018,595
4/22/2018,524
5/20/2018,529
6/17/2018,417
7/15/2018,733
8/12/2018,588
9/9/2018,447
11/4/2018,454
12/2/2018,100
12/30/2018,100
1/27/2019,595
2/24/2019,215
3/24/2019,793
4/21/2019,268
5/19/2019,353
6/16/2019,271
7/14/2019,1337
8/11/2019,339
9/8/2019,48
10/6/2019,328
11/3/2019,1887
12/1/2019,100
12/29/2019,100
1/26/2020,317
2/23/2020,317
2/23/2020,317
